año;mes;hora;factor_antofagasta;factor_santiago;factor_puertomontt
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.023;0.014;0.060
2025;1;8;0.121;0.174;0.202
2025;1;9;0.297;0.399;0.412
2025;1;10;0.472;0.578;0.605
2025;1;11;0.605;0.704;0.732
2025;1;12;0.687;0.779;0.799
2025;1;13;0.720;0.806;0.838
2025;1;14;0.698;0.759;0.848
2025;1;15;0.626;0.660;0.771
2025;1;16;0.495;0.486;0.630
2025;1;17;0.319;0.375;0.494
2025;1;18;0.170;0.227;0.350
2025;1;19;0.054;0.078;0.163
2025;1;20;0;0.001;0.040
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.020;0.023;0.062
2025;1;8;0.122;0.167;0.201
2025;1;9;0.286;0.365;0.390
2025;1;10;0.457;0.523;0.568
2025;1;11;0.597;0.622;0.656
2025;1;12;0.687;0.674;0.752
2025;1;13;0.723;0.646;0.829
2025;1;14;0.706;0.588;0.816
2025;1;15;0.639;0.525;0.762
2025;1;16;0.524;0.448;0.653
2025;1;17;0.365;0.333;0.494
2025;1;18;0.192;0.212;0.330
2025;1;19;0.049;0.076;0.148
2025;1;20;0;0.003;0.042
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.022;0.010;0.008
2025;1;8;0.119;0.169;0.028
2025;1;9;0.296;0.398;0.047
2025;1;10;0.486;0.579;0.093
2025;1;11;0.618;0.707;0.168
2025;1;12;0.700;0.782;0.169
2025;1;13;0.734;0.809;0.304
2025;1;14;0.719;0.793;0.378
2025;1;15;0.654;0.732;0.429
2025;1;16;0.540;0.624;0.478
2025;1;17;0.389;0.466;0.408
2025;1;18;0.203;0.266;0.254
2025;1;19;0.038;0.060;0.151
2025;1;20;0;0.002;0.044
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.019;0.012;0.060
2025;1;8;0.115;0.169;0.189
2025;1;9;0.307;0.391;0.374
2025;1;10;0.490;0.546;0.547
2025;1;11;0.623;0.655;0.681
2025;1;12;0.705;0.721;0.777
2025;1;13;0.739;0.770;0.792
2025;1;14;0.726;0.769;0.699
2025;1;15;0.665;0.718;0.657
2025;1;16;0.553;0.620;0.603
2025;1;17;0.393;0.464;0.496
2025;1;18;0.201;0.266;0.326
2025;1;19;0.037;0.063;0.151
2025;1;20;0;0.002;0.040
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.014;0.026;0.057
2025;1;8;0.110;0.159;0.200
2025;1;9;0.315;0.365;0.412
2025;1;10;0.496;0.552;0.591
2025;1;11;0.628;0.685;0.722
2025;1;12;0.710;0.764;0.805
2025;1;13;0.742;0.793;0.841
2025;1;14;0.728;0.776;0.833
2025;1;15;0.667;0.718;0.780
2025;1;16;0.557;0.609;0.683
2025;1;17;0.399;0.446;0.540
2025;1;18;0.204;0.246;0.358
2025;1;19;0.032;0.077;0.160
2025;1;20;0;0.003;0.036
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.018;0.029;0.011
2025;1;8;0.113;0.166;0.061
2025;1;9;0.302;0.379;0.188
2025;1;10;0.489;0.558;0.272
2025;1;11;0.626;0.687;0.402
2025;1;12;0.711;0.764;0.470
2025;1;13;0.744;0.791;0.524
2025;1;14;0.726;0.769;0.539
2025;1;15;0.657;0.697;0.507
2025;1;16;0.555;0.586;0.476
2025;1;17;0.396;0.417;0.398
2025;1;18;0.205;0.221;0.259
2025;1;19;0.034;0.072;0.133
2025;1;20;0;0.001;0.028
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.018;0.029;0.036
2025;1;8;0.118;0.160;0.121
2025;1;9;0.291;0.362;0.198
2025;1;10;0.474;0.531;0.220
2025;1;11;0.615;0.615;0.249
2025;1;12;0.699;0.687;0.324
2025;1;13;0.734;0.774;0.356
2025;1;14;0.720;0.796;0.295
2025;1;15;0.661;0.723;0.256
2025;1;16;0.551;0.628;0.252
2025;1;17;0.394;0.471;0.129
2025;1;18;0.207;0.266;0.095
2025;1;19;0.036;0.075;0.029
2025;1;20;0;0.003;0
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.018;0.036;0.050
2025;1;8;0.116;0.156;0.139
2025;1;9;0.305;0.336;0.242
2025;1;10;0.487;0.546;0.281
2025;1;11;0.625;0.709;0.242
2025;1;12;0.715;0.789;0.292
2025;1;13;0.749;0.808;0.285
2025;1;14;0.736;0.779;0.286
2025;1;15;0.673;0.720;0.264
2025;1;16;0.563;0.619;0.253
2025;1;17;0.402;0.473;0.147
2025;1;18;0.208;0.276;0.151
2025;1;19;0.035;0.071;0.091
2025;1;20;0;0.002;0.021
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.017;0.044;0.036
2025;1;8;0.113;0.163;0.163
2025;1;9;0.308;0.297;0.275
2025;1;10;0.485;0.458;0.419
2025;1;11;0.623;0.530;0.458
2025;1;12;0.708;0.531;0.497
2025;1;13;0.750;0.565;0.600
2025;1;14;0.737;0.595;0.731
2025;1;15;0.670;0.458;0.740
2025;1;16;0.563;0.378;0.668
2025;1;17;0.404;0.280;0.531
2025;1;18;0.210;0.178;0.362
2025;1;19;0.039;0.072;0.173
2025;1;20;0;0.002;0.040
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.016;0.030;0.040
2025;1;8;0.111;0.156;0.200
2025;1;9;0.310;0.395;0.425
2025;1;10;0.486;0.581;0.612
2025;1;11;0.619;0.712;0.747
2025;1;12;0.716;0.789;0.831
2025;1;13;0.751;0.819;0.866
2025;1;14;0.738;0.803;0.856
2025;1;15;0.678;0.742;0.798
2025;1;16;0.567;0.634;0.677
2025;1;17;0.405;0.477;0.482
2025;1;18;0.210;0.276;0.322
2025;1;19;0.034;0.070;0.159
2025;1;20;0;0.001;0.032
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.014;0.017;0.046
2025;1;8;0.108;0.163;0.143
2025;1;9;0.311;0.391;0.259
2025;1;10;0.490;0.576;0.342
2025;1;11;0.628;0.707;0.397
2025;1;12;0.716;0.785;0.438
2025;1;13;0.749;0.816;0.449
2025;1;14;0.736;0.801;0.417
2025;1;15;0.676;0.741;0.350
2025;1;16;0.566;0.632;0.267
2025;1;17;0.408;0.475;0.209
2025;1;18;0.212;0.275;0.180
2025;1;19;0.033;0.071;0.100
2025;1;20;0;0.001;0.015
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.015;0.023;0.010
2025;1;8;0.108;0.163;0.052
2025;1;9;0.311;0.388;0.093
2025;1;10;0.492;0.573;0.152
2025;1;11;0.627;0.704;0.215
2025;1;12;0.714;0.781;0.240
2025;1;13;0.749;0.811;0.307
2025;1;14;0.736;0.795;0.332
2025;1;15;0.675;0.731;0.331
2025;1;16;0.563;0.621;0.325
2025;1;17;0.404;0.463;0.276
2025;1;18;0.209;0.264;0.215
2025;1;19;0.036;0.079;0.128
2025;1;20;0;0.001;0.035
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.015;0.020;0.052
2025;1;8;0.108;0.143;0.194
2025;1;9;0.312;0.353;0.414
2025;1;10;0.494;0.553;0.597
2025;1;11;0.635;0.691;0.729
2025;1;12;0.719;0.778;0.811
2025;1;13;0.754;0.809;0.846
2025;1;14;0.742;0.791;0.837
2025;1;15;0.682;0.729;0.785
2025;1;16;0.572;0.625;0.687
2025;1;17;0.413;0.462;0.543
2025;1;18;0.215;0.261;0.360
2025;1;19;0.031;0.082;0.159
2025;1;20;0;0.002;0.030
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.012;0.030;0.046
2025;1;8;0.106;0.157;0.188
2025;1;9;0.319;0.369;0.401
2025;1;10;0.505;0.551;0.584
2025;1;11;0.639;0.680;0.718
2025;1;12;0.721;0.760;0.801
2025;1;13;0.754;0.792;0.837
2025;1;14;0.740;0.779;0.829
2025;1;15;0.679;0.720;0.778
2025;1;16;0.569;0.616;0.682
2025;1;17;0.408;0.464;0.541
2025;1;18;0.212;0.272;0.358
2025;1;19;0.035;0.075;0.158
2025;1;20;0;0.001;0.029
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.013;0.016;0.026
2025;1;8;0.106;0.159;0.161
2025;1;9;0.315;0.389;0.314
2025;1;10;0.498;0.575;0.373
2025;1;11;0.630;0.706;0.413
2025;1;12;0.710;0.784;0.436
2025;1;13;0.742;0.814;0.363
2025;1;14;0.726;0.799;0.295
2025;1;15;0.665;0.738;0.256
2025;1;16;0.557;0.630;0.244
2025;1;17;0.403;0.474;0.199
2025;1;18;0.212;0.276;0.166
2025;1;19;0.037;0.070;0.117
2025;1;20;0;0;0.027
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.016;0.015;0.023
2025;1;8;0.111;0.158;0.153
2025;1;9;0.311;0.389;0.370
2025;1;10;0.491;0.576;0.523
2025;1;11;0.628;0.699;0.632
2025;1;12;0.718;0.762;0.717
2025;1;13;0.755;0.807;0.730
2025;1;14;0.741;0.798;0.657
2025;1;15;0.680;0.738;0.555
2025;1;16;0.569;0.631;0.468
2025;1;17;0.410;0.476;0.368
2025;1;18;0.215;0.277;0.299
2025;1;19;0.037;0.072;0.152
2025;1;20;0;0;0.035
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.015;0.018;0.050
2025;1;8;0.108;0.159;0.185
2025;1;9;0.310;0.391;0.403
2025;1;10;0.493;0.579;0.595
2025;1;11;0.628;0.715;0.731
2025;1;12;0.714;0.796;0.816
2025;1;13;0.749;0.828;0.854
2025;1;14;0.737;0.812;0.847
2025;1;15;0.676;0.751;0.795
2025;1;16;0.566;0.643;0.697
2025;1;17;0.408;0.484;0.551
2025;1;18;0.214;0.282;0.367
2025;1;19;0.039;0.072;0.161
2025;1;20;0;0;0.027
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.015;0.011;0.046
2025;1;8;0.112;0.158;0.187
2025;1;9;0.293;0.393;0.399
2025;1;10;0.484;0.577;0.558
2025;1;11;0.618;0.706;0.688
2025;1;12;0.702;0.783;0.793
2025;1;13;0.744;0.813;0.833
2025;1;14;0.739;0.798;0.821
2025;1;15;0.679;0.739;0.769
2025;1;16;0.568;0.632;0.669
2025;1;17;0.408;0.476;0.513
2025;1;18;0.214;0.277;0.317
2025;1;19;0.041;0.071;0.144
2025;1;20;0;0;0.028
2025;1;21;0;0;0
2025;1;22;0;0;0
2025;1;23;0;0;0
2025;1;0;0;0;0
2025;1;1;0;0;0
2025;1;2;0;0;0
2025;1;3;0;0;0
2025;1;4;0;0;0
2025;1;5;0;0;0
2025;1;6;0;0;0
2025;1;7;0.015;0.015;0.044
2025;1;8;0.113;0.156;0.180
2025;1;9;0.285;0.388;0.388
2025;1;10;0.464;0.572;0.571
2025;1;11;0.612;0.701;0.705
2025;1;12;0.711;0.778;0.787
2025;1;13;0.751;0.808;0.823
2025;1;14;0.740;0.793;0.816
2025;1;15;0.678;0.733;0.766
2025;1;16;0.568;0.610;0.670
2025;1;17;0.409;0.380;0.528
