;CN(alto);SR(medio);AT(bajo);;;;;;;;;;;;
tiempo;emision [tCO2/MWh];emision [tCO2/MWh];emision [tCO2/MWh];;;;;;;;;;;;
0;0.2692;0.2658;0.2694;;;;;;;;;;;;
1;0.2662;0.2624;0.2664;;;;;;;;;;;;
2;0.2632;0.259;0.2633;;;;;;;;;;;;
3;0.2603;0.2557;0.2603;;;;;;;;;;;;
4;0.2574;0.2525;0.2574;;;;;;;;;;;;
5;0.2546;0.2493;0.2544;;;;;;;;;;;;
6;0.2517;0.2461;0.2515;;;;;;;;;;;;
7;0.249;0.243;0.2487;;;;;;;;;;;;
8;0.2462;0.2399;0.2458;;;;;;;;;;;;
9;0.2435;0.2368;0.243;;;;;;;;;;;;
10;0.2408;0.2338;0.2403;;;;;;;;;;;;
11;0.2381;0.2308;0.2375;;;;;;;;;;;;
12;0.2355;0.2279;0.2348;;;;;;;;;;;;
13;0.2295;0.2221;0.2282;;;;;;;;;;;;
14;0.2236;0.2164;0.2217;;;;;;;;;;;;
15;0.218;0.2109;0.2154;;;;;;;;;;;;
16;0.2124;0.2055;0.2093;;;;;;;;;;;;
17;0.207;0.2003;0.2034;;;;;;;;;;;;
18;0.2018;0.1952;0.1976;;;;;;;;;;;;
19;0.1966;0.1902;0.192;;;;;;;;;;;;
20;0.1916;0.1854;0.1865;;;;;;;;;;;;
21;0.1868;0.1807;0.1813;;;;;;;;;;;;
22;0.182;0.1761;0.1761;;;;;;;;;;;;
23;0.1774;0.1716;0.1711;;;;;;;;;;;;
24;0.1729;0.1672;0.1663;;;;;;;;;;;;
25;0.1631;0.1577;0.1559;;;;;;;;;;;;
26;0.1538;0.1487;0.1462;;;;;;;;;;;;
27;0.145;0.1403;0.1371;;;;;;;;;;;;
28;0.1368;0.1323;0.1286;;;;;;;;;;;;
29;0.129;0.1248;0.1206;;;;;;;;;;;;
30;0.1217;0.1177;0.113;;;;;;;;;;;;
31;0.1147;0.111;0.106;;;;;;;;;;;;
32;0.1082;0.1047;0.0994;;;;;;;;;;;;
33;0.1021;0.0987;0.0932;;;;;;;;;;;;
34;0.0962;0.0931;0.0874;;;;;;;;;;;;
35;0.0908;0.0878;0.082;;;;;;;;;;;;
36;0.0856;0.0828;0.0769;;;;;;;;;;;;
37;0.0847;0.0818;0.0754;;;;;;;;;;;;
38;0.0838;0.0808;0.0741;;;;;;;;;;;;
39;0.0829;0.0798;0.0727;;;;;;;;;;;;
40;0.082;0.0788;0.0714;;;;;;;;;;;;
41;0.0811;0.0778;0.07;;;;;;;;;;;;
42;0.0802;0.0769;0.0688;;;;;;;;;;;;
43;0.0793;0.0759;0.0675;;;;;;;;;;;;
44;0.0785;0.075;0.0662;;;;;;;;;;;;
45;0.0776;0.074;0.065;;;;;;;;;;;;
46;0.0768;0.0731;0.0638;;;;;;;;;;;;
47;0.076;0.0722;0.0626;;;;;;;;;;;;
48;0.0751;0.0713;0.0615;;;;;;;;;;;;
49;0.0756;0.0716;0.062;;;;;;;;;;;;
50;0.0761;0.0719;0.0624;;;;;;;;;;;;
51;0.0766;0.0721;0.0629;;;;;;;;;;;;
52;0.0771;0.0724;0.0634;;;;;;;;;;;;
53;0.0776;0.0727;0.0639;;;;;;;;;;;;
54;0.0781;0.0729;0.0644;;;;;;;;;;;;
55;0.0786;0.0732;0.0649;;;;;;;;;;;;
56;0.0791;0.0735;0.0653;;;;;;;;;;;;
57;0.0796;0.0738;0.0658;;;;;;;;;;;;
58;0.0801;0.0741;0.0663;;;;;;;;;;;;
59;0.0806;0.0743;0.0669;;;;;;;;;;;;
60;0.0811;0.0746;0.0674;;;;;;;;;;;;
61;0.0721;0.0666;0.0589;;;;;;;;;;;;
62;0.0641;0.0594;0.0515;;;;;;;;;;;;
63;0.057;0.0529;0.0451;;;;;;;;;;;;
64;0.0507;0.0472;0.0394;;;;;;;;;;;;
