time;local_time;electricityKW
01-01-2019 0:00;31-12-2018 21:00;0
01-01-2019 1:00;31-12-2018 22:00;0
01-01-2019 2:00;31-12-2018 23:00;0
01-01-2019 3:00;01-01-2019 0:00;0
01-01-2019 4:00;01-01-2019 1:00;0
01-01-2019 5:00;01-01-2019 2:00;0
01-01-2019 6:00;01-01-2019 3:00;0
01-01-2019 7:00;01-01-2019 4:00;0
01-01-2019 8:00;01-01-2019 5:00;0
01-01-2019 9:00;01-01-2019 6:00;0
01-01-2019 10:00;01-01-2019 7:00;0.023
01-01-2019 11:00;01-01-2019 8:00;0.121
01-01-2019 12:00;01-01-2019 9:00;0.297
01-01-2019 13:00;01-01-2019 10:00;0.472
01-01-2019 14:00;01-01-2019 11:00;0.605
01-01-2019 15:00;01-01-2019 12:00;0.687
01-01-2019 16:00;01-01-2019 13:00;0.720
01-01-2019 17:00;01-01-2019 14:00;0.698
01-01-2019 18:00;01-01-2019 15:00;0.626
01-01-2019 19:00;01-01-2019 16:00;0.495
01-01-2019 20:00;01-01-2019 17:00;0.319
01-01-2019 21:00;01-01-2019 18:00;0.170
01-01-2019 22:00;01-01-2019 19:00;0.054
01-01-2019 23:00;01-01-2019 20:00;0
02-01-2019 0:00;01-01-2019 21:00;0
02-01-2019 1:00;01-01-2019 22:00;0
02-01-2019 2:00;01-01-2019 23:00;0
02-01-2019 3:00;02-01-2019 0:00;0
02-01-2019 4:00;02-01-2019 1:00;0
02-01-2019 5:00;02-01-2019 2:00;0
02-01-2019 6:00;02-01-2019 3:00;0
02-01-2019 7:00;02-01-2019 4:00;0
02-01-2019 8:00;02-01-2019 5:00;0
02-01-2019 9:00;02-01-2019 6:00;0
02-01-2019 10:00;02-01-2019 7:00;0.020
02-01-2019 11:00;02-01-2019 8:00;0.122
02-01-2019 12:00;02-01-2019 9:00;0.286
02-01-2019 13:00;02-01-2019 10:00;0.457
02-01-2019 14:00;02-01-2019 11:00;0.597
02-01-2019 15:00;02-01-2019 12:00;0.687
02-01-2019 16:00;02-01-2019 13:00;0.723
02-01-2019 17:00;02-01-2019 14:00;0.706
02-01-2019 18:00;02-01-2019 15:00;0.639
02-01-2019 19:00;02-01-2019 16:00;0.524
02-01-2019 20:00;02-01-2019 17:00;0.365
02-01-2019 21:00;02-01-2019 18:00;0.192
02-01-2019 22:00;02-01-2019 19:00;0.049
02-01-2019 23:00;02-01-2019 20:00;0
03-01-2019 0:00;02-01-2019 21:00;0
03-01-2019 1:00;02-01-2019 22:00;0
03-01-2019 2:00;02-01-2019 23:00;0
03-01-2019 3:00;03-01-2019 0:00;0
03-01-2019 4:00;03-01-2019 1:00;0
03-01-2019 5:00;03-01-2019 2:00;0
03-01-2019 6:00;03-01-2019 3:00;0
03-01-2019 7:00;03-01-2019 4:00;0
03-01-2019 8:00;03-01-2019 5:00;0
03-01-2019 9:00;03-01-2019 6:00;0
03-01-2019 10:00;03-01-2019 7:00;0.022
03-01-2019 11:00;03-01-2019 8:00;0.119
03-01-2019 12:00;03-01-2019 9:00;0.296
03-01-2019 13:00;03-01-2019 10:00;0.486
03-01-2019 14:00;03-01-2019 11:00;0.618
03-01-2019 15:00;03-01-2019 12:00;0.700
03-01-2019 16:00;03-01-2019 13:00;0.734
03-01-2019 17:00;03-01-2019 14:00;0.719
03-01-2019 18:00;03-01-2019 15:00;0.654
03-01-2019 19:00;03-01-2019 16:00;0.540
03-01-2019 20:00;03-01-2019 17:00;0.389
03-01-2019 21:00;03-01-2019 18:00;0.203
03-01-2019 22:00;03-01-2019 19:00;0.038
03-01-2019 23:00;03-01-2019 20:00;0
04-01-2019 0:00;03-01-2019 21:00;0
04-01-2019 1:00;03-01-2019 22:00;0
04-01-2019 2:00;03-01-2019 23:00;0
04-01-2019 3:00;04-01-2019 0:00;0
04-01-2019 4:00;04-01-2019 1:00;0
04-01-2019 5:00;04-01-2019 2:00;0
04-01-2019 6:00;04-01-2019 3:00;0
04-01-2019 7:00;04-01-2019 4:00;0
04-01-2019 8:00;04-01-2019 5:00;0
04-01-2019 9:00;04-01-2019 6:00;0
04-01-2019 10:00;04-01-2019 7:00;0.019
04-01-2019 11:00;04-01-2019 8:00;0.115
04-01-2019 12:00;04-01-2019 9:00;0.307
04-01-2019 13:00;04-01-2019 10:00;0.490
04-01-2019 14:00;04-01-2019 11:00;0.623
04-01-2019 15:00;04-01-2019 12:00;0.705
04-01-2019 16:00;04-01-2019 13:00;0.739
04-01-2019 17:00;04-01-2019 14:00;0.726
04-01-2019 18:00;04-01-2019 15:00;0.665
04-01-2019 19:00;04-01-2019 16:00;0.553
04-01-2019 20:00;04-01-2019 17:00;0.393
04-01-2019 21:00;04-01-2019 18:00;0.201
04-01-2019 22:00;04-01-2019 19:00;0.037
04-01-2019 23:00;04-01-2019 20:00;0
05-01-2019 0:00;04-01-2019 21:00;0
05-01-2019 1:00;04-01-2019 22:00;0
05-01-2019 2:00;04-01-2019 23:00;0
05-01-2019 3:00;05-01-2019 0:00;0
05-01-2019 4:00;05-01-2019 1:00;0
05-01-2019 5:00;05-01-2019 2:00;0
05-01-2019 6:00;05-01-2019 3:00;0
05-01-2019 7:00;05-01-2019 4:00;0
05-01-2019 8:00;05-01-2019 5:00;0
05-01-2019 9:00;05-01-2019 6:00;0
05-01-2019 10:00;05-01-2019 7:00;0.014
05-01-2019 11:00;05-01-2019 8:00;0.110
05-01-2019 12:00;05-01-2019 9:00;0.315
05-01-2019 13:00;05-01-2019 10:00;0.496
05-01-2019 14:00;05-01-2019 11:00;0.628
05-01-2019 15:00;05-01-2019 12:00;0.710
05-01-2019 16:00;05-01-2019 13:00;0.742
05-01-2019 17:00;05-01-2019 14:00;0.728
05-01-2019 18:00;05-01-2019 15:00;0.667
05-01-2019 19:00;05-01-2019 16:00;0.557
05-01-2019 20:00;05-01-2019 17:00;0.399
05-01-2019 21:00;05-01-2019 18:00;0.204
05-01-2019 22:00;05-01-2019 19:00;0.032
05-01-2019 23:00;05-01-2019 20:00;0
06-01-2019 0:00;05-01-2019 21:00;0
06-01-2019 1:00;05-01-2019 22:00;0
06-01-2019 2:00;05-01-2019 23:00;0
06-01-2019 3:00;06-01-2019 0:00;0
06-01-2019 4:00;06-01-2019 1:00;0
06-01-2019 5:00;06-01-2019 2:00;0
06-01-2019 6:00;06-01-2019 3:00;0
06-01-2019 7:00;06-01-2019 4:00;0
06-01-2019 8:00;06-01-2019 5:00;0
