Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,willing_Norte,available_market_Norte,Pct_adoption_Norte,initial_adopters0_Norte,initial_W0_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,willing_Centro,available_market_Centro,Pct_adoption_Centro,initial_adopters0_Centro,initial_W0_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur,willing_Sur,available_market_Sur,Pct_adoption_Sur,initial_adopters0_Sur,initial_W0_Sur,National_Available_Market,National_Adopters,National_Percentage_of_Adoption
0,111726.38481686903,71.05696155124822,1594.3939393939395,113320.77875626297,293503.39100346016,0.005432284560470863,1594.3939393939395,111726.38481686903,446802.3288629471,466.36036437754126,12069.818181818182,458872.1470447653,1624136.4620938627,0.007431529593429347,12069.818181818182,446802.3288629471,125088.92140650666,78.463162451025,1751.3838383838383,126840.30524489051,836572.6277372262,0.0020935227621790673,1751.3838383838383,125088.92140650666,2754212.4808345493,15415.595959595961,0.005597097561232787
1,111704.29862751081,73.39159475879151,1666.6109920888898,113457.28812183232,293856.95336102665,0.00567150435961039,1594.3939393939395,111726.38481686903,446438.46944551374,481.24740529223783,12543.582910359746,459171.41172985686,1625195.6823799587,0.007718198519941151,12069.818181818182,446802.3288629471,125036.8812708624,81.03768940697714,1831.1269588465216,126915.73871301343,837070.1476267052,0.002187543020185591,1751.3838383838383,125088.92140650666,2756122.7833676906,16041.320861295158,0.005820248995472677
2,111734.59886983814,75.80919312954082,1741.2047036195925,113593.92081963884,294210.83515188884,0.00591822086606933,1594.3939393939395,111726.38481686903,446179.5048188927,496.59839278899176,13032.467452498739,459470.84497325675,1626255.499262942,0.008013788398197802,12069.818181818182,446802.3288629471,125012.47488650036,83.69838294088049,1913.487894761579,126991.21557147588,837567.9536962773,0.002284576297740561,1751.3838383838383,125088.92140650666,2758034.2881111084,16687.16005087991,0.006050381651458157
3,111782.54064510061,78.30607025263502,1818.2557519239933,113730.67696110968,294565.0366646456,0.00617268014056274,1594.3939393939395,111726.38481686903,445948.94149777445,512.4104042289273,13536.93324433399,459770.44686990406,1627315.9130788406,0.00831856502817726,12069.818181818182,446802.3288629471,124996.45227816343,86.444355544791,1998.55212173103,127066.73584523657,838066.0461105572,0.0023847191173133175,1751.3838383838383,125088.92140650666,2759946.9958540434,17353.74111798901,0.006287708113256369
4,111835.42384361387,80.88226501091779,1897.8432568049657,113867.55665777258,294919.5581881563,0.006435121727648043,1594.3939393939395,111726.38481686903,445718.6331155567,528.6893544513878,14057.44384298775,460070.2175147913,1628376.9241638724,0.00863279479977025,12069.818181818182,446802.3288629471,124981.74999251818,89.27680117813404,2086.4054152736117,127142.29955926858,838564.4250342541,0.0024880681233148965,1751.3838383838383,125088.92140650666,2761860.9073862825,18041.69251506633,0.006532440669555761
5,111888.4718705627,83.53918872259352,1980.0471865387406,114004.56002125605,295274.40001154126,0.006705786842548312,1594.3939393939395,111726.38481686903,445477.80662328255,545.4444231577835,14594.47064870225,460370.1570029647,1629438.5328544443,0.008956748201563463,12069.818181818182,446802.3288629471,124965.6839868001,92.1976959498011,2177.1352042574563,127217.90673855934,839063.0906321723,0.002594721694428419,1751.3838383838383,125088.92140650666,2763776.023498158,18751.653039498444,0.006784794744606026
6,111940.05132680002,86.2788276676449,2064.9492019817335,114141.68716328943,295629.5624241821,0.0069849212137277905,1594.3939393939395,111726.38481686903,445222.57707646897,562.6861545893959,15148.494900344753,460670.2654295235,1630500.739487152,0.009290701030353087,12069.818181818182,446802.3288629471,124947.30675852619,95.20935763819278,2270.831060320027,127293.55740811065,839562.0430692106,0.002704780521066062,1751.3838383838383,125088.92140650666,2765692.3449805444,19484.275162646514,0.007044990090097522
7,111989.22057552534,89.10332986392946,2152.633122610966,114278.93819570311,295985.04571572196,0.007272776627635629,1594.3939393939395,111726.38481686903,444950.5706033416,580.4254486722084,15720.008798104445,460970.54288962093,1631563.5443987816,0.009634935060955377,12069.818181818182,446802.3288629471,124926.0520194535,98.31421747835422,2367.5849820021217,127369.25159293863,840061.2825103623,0.0028183479363875063,1751.3838383838383,125088.92140650666,2767609.8726248657,20240.22690271753,0.0073132514459204575
8,112035.8950853832,92.01503571664068,2243.1849303238446,114416.31323042838,296340.8501760655,0.00756961090241557,1594.3939393939395,111726.38481686903,444661.28714554466,598.6736352121821,16309.515431796746,461270.9894784638,1632626.9479263087,0.009989737981792092,12069.818181818182,446802.3288629471,124901.8260887314,101.51483663369388,2467.4914152907436,127444.9893180739,840560.8091207164,0.0029355299325362397,1751.3838383838383,125088.92140650666,2769528.6072230907,21020.191777411335,0.007589808504808168
9,112079.689111081,95.01627914494077,2336.693034100557,114553.81237949774,296696.9760953795,0.00787568874092393,1594.3939393939395,111726.38481686903,444353.559742426,617.4419655038286,16917.529439468697,461571.60529131227,1633690.9504068987,0.01035540377771885,12069.818181818182,446802.3288629471,124874.36747087556,104.81379644626382,2570.6474334480404,127520.77060856145,841060.6230654565,0.003056435366191168,1751.3838383838383,125088.92140650666,2771448.549567735,21824.869907017295,0.007874896292201181
