Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur
0,39587.65385908356,57.69994642007931,1594.3939393939395,130613.49345875942,390.1058259895897,12069.818181818182,31601.010026981123,60.59118224540719,1751.3838383838383
1,39547.27488332328,59.49323575013315,1652.9858648400611,130252.1462815495,400.97103712352106,12465.33581173301,31546.795286669618,62.41371630139486,1812.882148159579
2,39524.961780436905,61.340917162938375,1713.3985062240113,129917.10757768404,412.07900378671593,12871.841063986512,31498.683321393604,64.28529659915863,1876.2276035840348
3,39508.078453787544,63.241460275472505,1775.6852965076162,129584.52138761285,423.4211951168463,13289.57181704786,31451.5912155878,66.205425454096,1941.4689134011921
4,39491.98291697279,65.19495246770244,1839.8990646879915,129245.54140974958,434.99416280582517,13718.760340871877,31403.634250012463,68.17434155951207,2008.654711497635
5,39474.919989313916,67.2020702487005,1906.0930750431044,128896.74321077285,446.79612981947884,14159.636474511493,31354.08247044747,70.19253770281937,2077.834022822418
6,39456.26736694258,69.26372187881877,1974.3213813680525,128536.83184695088,458.82578382416625,14612.428492861764,31302.658958040287,72.26059126949627,2149.0564054441193
7,39435.661957865195,71.38085937221221,2044.6390111984063,128165.00200145946,471.0815945620245,15077.363420012345,31249.190295560136,74.37907191336197,2222.3720134469963
8,39413.045313069764,73.5544925109523,2117.1019327144586,127781.02371197306,483.56188233846655,15554.666515076147,31193.624779142414,76.54854769318356,2297.8315484743284
9,39388.254971300536,75.78559152841675,2191.767148513193,127384.47550780152,496.26442311225645,16044.561253028025,31135.868939057546,78.7695342902657,2375.4862776303967
10,39361.26806024286,78.07514377198734,2268.6926094585924,126975.20217684345,509.1866751983335,16547.268642729832,31075.885043893195,81.04252176385525,2455.3879572150877
11,39332.03589946243,80.42411127921658,2347.937237069367,126553.00475520531,522.3255956371086,17063.006824121447,31013.624967961685,83.36795057623175,2537.588800572777
12,39300.41710799431,82.8334093761245,2429.5609407363386,126117.51525914854,535.6775358525498,17591.990809542836,30949.003451780554,85.74619815895046,2622.1414615192725
13,39266.399091564184,85.30396130125031,2513.6245128290316,125668.61300394687,549.238478024663,18134.431706102103,30881.986770222156,88.1776052316021,2709.098939035401
14,39230.0060039833,87.83667286547782,2600.1896132974616,125206.25241225885,563.0039242245663,18690.536119195647,30812.55596695813,90.66246021619526,2798.5145129415155
15,39191.119435761015,90.43237841921301,2689.318815694126,124730.12684373402,576.9686394157902,19260.505836470886,30740.635152922085,93.20096772589125,2890.4417231647058
16,39149.52461606909,93.0918458195038,2781.0755828238994,124239.75547701432,591.1266657461891,19844.537622582415,30666.11000673753,95.79324892243591,2984.9343445099257
17,39105.2984278392,95.81588807851689,2875.524058066788,123735.21278477235,605.4718546065395,20442.82166835675,30588.983127158448,98.43939934225885,3082.046191668509
18,39058.46800090259,98.60526295349631,2972.729137948808,123216.48795376641,619.9974034409478,21055.54147610805,30509.23748001757,101.13943254681693,3181.831107853012
19,39008.78558044918,101.46059222155009,3072.756530125473,122683.06248493155,634.6954503882164,21682.873789775174,30426.746356793086,103.89323246812755,3284.3429565635206
20,38956.2126173495,104.38250940771594,3175.6725299320206,122134.8198295199,649.5578061801172,22324.987191313783,30341.467141019526,106.70063292471761,3389.6354454465695
21,38900.82851323534,107.37163339441835,3281.5439687408557,121571.87470754444,664.5758507132259,22982.041397115867,30253.40487865615,109.56140141355324,3497.762025089421
