Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,willing_Norte,available_market_Norte,Pct_adoption_Norte,initial_adopters0_Norte,initial_W0_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,willing_Centro,available_market_Centro,Pct_adoption_Centro,initial_adopters0_Centro,initial_W0_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur,willing_Sur,available_market_Sur,Pct_adoption_Sur,initial_adopters0_Sur,initial_W0_Sur,National_Available_Market,National_Adopters,National_Percentage_of_Adoption
0,111726.38481686903,71.05696155124822,1594.3939393939395,113320.77875626297,293503.39100346016,0.005432284560470863,1594.3939393939395,111726.38481686903,446802.3288629471,466.36036437754126,12069.818181818182,458872.1470447653,1624136.4620938627,0.007431529593429347,12069.818181818182,446802.3288629471,125088.92140650666,78.463162451025,1751.3838383838383,126840.30524489051,836572.6277372262,0.0020935227621790673,1751.3838383838383,125088.92140650666,2754212.4808345493,15415.595959595961,0.005597097561232787
1,111704.27596540867,73.39159076473187,1666.6109906599206,113457.22649283092,293856.79374051315,0.00567150743546056,1594.3939393939395,111726.38481686903,446438.4384352491,481.2473992739137,12543.582908216902,459171.3274823357,1625195.3841934772,0.007718199934736958,12069.818181818182,446802.3288629471,125036.87328862977,81.03768800229341,1831.1269583454996,126915.71702615963,837070.0045915066,0.0021875433933857143,1751.3838383838383,125088.92140650666,2756122.182525497,16041.320857222323,0.0058202502628251765
2,111734.52889684703,75.80918058893334,1741.2046941526708,113593.79745030121,294210.51562250213,0.00591822726141709,1594.3939393939395,111726.38481686903,446179.40920170024,496.5983738040357,13032.467438205116,459470.6763833243,1626254.9025541241,0.008013791329844354,12069.818181818182,446802.3288629471,125012.45027211835,83.69837853622425,1913.4878914345995,126991.17217282274,837567.6674613521,0.0022845770745118857,1751.3838383838383,125088.92140650666,2758033.0856379783,16687.16002379239,0.0060503842795389725
3,111782.41421225184,78.30604718194171,1818.2557247588225,113730.49173995004,294564.55693763494,0.006172690101150841,1594.3939393939395,111726.38481686903,445948.76877908193,512.4103690948435,13536.933203152981,459770.19384259026,1627315.0175115485,0.008318569580862922,12069.818181818182,446802.3288629471,124996.40781497776,86.44434744419198,1998.5521121873833,127066.67070981703,838065.6165112356,0.0023847203283522246,1751.3838383838383,125088.92140650666,2759945.190960419,17353.741040099187,0.006287712196944154
4,111835.2374599082,80.88223035161595,1897.8432008549328,113867.3094731542,294918.91797437996,0.006435135507379697,1594.3939393939395,111726.38481686903,445718.37851600745,528.6893013322792,14057.443757830732,460069.87995504576,1628375.7294016834,0.008632801081477601,12069.818181818182,446802.3288629471,124981.68445012608,89.276789009932,2086.4053956253674,127142.21266209403,838563.8519057244,0.0024880698003900267,1751.3838383838383,125088.92140650666,2761858.499281788,18041.69235431103,0.006532446307080075
5,111888.22432034361,83.53914177424237,1980.0470898334652,114004.25076139091,295273.59902146587,0.006705804705856955,1594.3939393939395,111726.38481686903,445477.4686072698,545.4443507511544,14594.470500876674,460369.7348156564,1629437.038560651,0.008956756324729535,12069.818181818182,446802.3288629471,124965.5969678244,92.19767947375676,2177.135170303612,127217.79805461962,839062.3738094805,0.0025947238706689494,1751.3838383838383,125088.92140650666,2763773.0113915973,18751.652761013753,0.006784802038273049
6,111939.74202402947,86.27876780909267,2064.949051919182,114141.31571623826,295628.6003678823,0.006984943436966332,1594.3939393939395,111726.38481686903,445222.1549122356,562.6860616685653,15148.494669941816,460669.75851944153,1630498.9453247641,0.009290711112312021,12069.818181818182,446802.3288629471,124947.1980732386,95.20933663966878,2270.831007642954,127293.426912374,839561.1823872601,0.002704783231146934,1751.3838383838383,125088.92140650666,2765688.7280799067,19484.27472950395,0.007044999146751778
7,111988.8492365734,89.10325649680142,2152.6329059866534,114278.5044493749,295983.92230287957,0.007272803499724792,1594.3939393939395,111726.38481686903,444950.06390342506,580.4253339963506,15720.008464014816,460969.95116147393,1631561.4500305238,0.009634947224158011,12069.818181818182,446802.3288629471,124925.92156764104,98.31419174793936,2367.5849059797256,127369.09926035177,840060.2778039149,0.002818351216616342,1751.3838383838383,125088.92140650666,2767605.6501373183,20240.226275981197,0.0073132623771659635
8,112035.46152170285,92.0149482282769,2243.184633333479,114415.81707258044,296339.5651159694,0.007569642725417485,1594.3939393939395,111726.38481686903,444660.6957317711,598.6734974961455,16309.514971645714,461270.31283687975,1632624.5530146204,0.009989752353981448,12069.818181818182,446802.3288629471,124901.67382282102,101.51480596030989,2467.491311088904,127444.81512356187,840559.6602243906,0.0029355338209190265,1751.3838383838383,125088.92140650666,2769523.7783549805,21020.190916068095,0.007589821427189009
9,112079.19332608781,95.01617692366055,2336.6926422905813,114553.25369773546,296695.529096925,0.007875725830459772,1594.3939393939395,111726.38481686903,444352.88374728337,617.4418034340274,16917.52882948243,461570.84364083887,1633688.254613935,0.010355420492069521,12069.818181818182,446802.3288629471,124874.1934224556,104.81376062125294,2570.6472960038454,127520.57452702771,841059.3298137286,0.0030564399024896054,1751.3838383838383,125088.92140650666,2771443.1135245888,21824.868767776858,0.007874911327341312
10,112120.052182369,98.10938948211161,2433.2476647878,114690.81443682149,297051.8145357811,0.008191324024027146,1594.3939393939395,111726.38481686903,444026.3175656781,636.7417122611753,17544.575839917907,461871.5436685846,1634752.555165537,0.010732251669820038,12069.818181818182,446802.3288629471,124843.4350128574,108.21372234226745,2677.1525130190307,127596.37749578699,841559.2867370645,0.003181181118443859,1751.3838383838383,125088.92140650666,2773363.6564383823,22654.976017724737,0.008168772229033528
11,112157.98015663352,101.29706648225246,2532.942899294792,114828.49940192125,297408.4217228345,0.00851671544679838,1594.3939393939395,111726.38481686903,443680.53715573915,656.5846780216148,18191.193245530096,462172.4130154041,1635817.4550066863,0.011120552106748208,12069.818181818182,446802.3288629471,124809.31571390889,111.7173990684389,2787.10930492544,127672.22405489185,842059.5311596293,0.0033098720479859843,1751.3838383838383,125088.92140650666,2775285.40788915,23511.245449750328,0.008471649576262036
12,112192.64733647741,104.58168483426745,2635.8741124079147,114966.30870521865,297765.3509486441,0.008852185467551349,1594.3939393939395,111726.38481686903,443314.4797641089,676.9820345019651,18857.92999060605,462473.4517766381,1636882.9544748336,0.011520634348994307,12069.818181818182,446802.3288629471,124771.60089455053,115.32751927661103,2900.6227948060473,127748.11422940882,842560.0632467489,0.0034426302899151088,1751.3838383838383,125088.92140650666,2777208.3686702265,24394.426897820013,0.00878379424929519
13,112224.07842438303,107.96582641241221,2742.139520136302,115104.24245899892,298122.60250403115,0.009198026238548027,1594.3939393939395,111726.38481686903,442927.8547739853,697.9452589374745,19545.34619420807,462774.66004768084,1637949.0539076175,0.011932816925886177,12069.818181818182,446802.3288629471,124730.25065237956,119.046890448697,3017.8008159451233,127824.04804441889,843060.8831638441,0.0035795763701192036,1751.3838383838383,125088.92140650666,2779132.539575493,25305.286530289493,0.009105462287219604
