Fecha Hora,Total,Demanda [MWh]
2025-07-16 00:00:00.000000, ,"18,257"
2025-07-16 01:00:00.000000, ,"17,216"
2025-07-16 02:00:00.000000, ,"16,739"
2025-07-16 03:00:00.000000, ,"16,099"
2025-07-16 04:00:00.000000, ,"15,869"
2025-07-16 05:00:00.000000, ,"15,828"
2025-07-16 06:00:00.000000, ,"15,932"
2025-07-16 07:00:00.000000, ,"15,953"
2025-07-16 08:00:00.000000, ,"16,373"
2025-07-16 09:00:00.000000, ,"18,183"
2025-07-16 10:00:00.000000, ,"19,226"
2025-07-16 11:00:00.000000, ,"19,672"
2025-07-16 12:00:00.000000, ,"29,652"
2025-07-16 13:00:00.000000, ,"29,653"
2025-07-16 14:00:00.000000, ,"29,961"
2025-07-16 15:00:00.000000, ,"29,617"
2025-07-16 16:00:00.000000, ,"28,963"
2025-07-16 17:00:00.000000, ,"29,093"
2025-07-16 18:00:00.000000, ,"30,853"
2025-07-16 19:00:00.000000, ,"31,387"
2025-07-16 20:00:00.000000, ,"31,677"
2025-07-16 21:00:00.000000, ,"31,272"
2025-07-16 22:00:00.000000, ,"30,441"
2025-07-16 23:00:00.000000, ,"28,773"
